,Best fitness value
0,0.925052736435017
1,0.963295441228173
2,0.9651910230868394
3,0.9725594749794914
4,0.9771270362123521
5,0.987322746982304
6,0.9893267315129497
7,0.9893267315129497
8,0.9914391187155748
9,0.991606117426462
10,0.9926637759287472
11,0.9931003164186101
12,0.9931003164186101
13,0.9936804172037971
14,0.9948699167936248
15,0.9952918082737607
16,0.9971815305285363
17,0.9973104418141334
18,0.9973104418141334
19,0.9973104418141334
20,0.9979930856674089
21,0.9982362592288762
22,0.9984149771475448
23,0.998725536153756
24,0.9988134302121177
25,0.9989511309035509
26,0.9989511309035509
27,0.9990419547638579
28,0.9991503574358374
29,0.9991737958514004
30,0.9992880581272706
31,0.999290987929216
32,0.9993642329778507
33,0.9994609164420485
34,0.9995224422829017
35,0.9995458806984648
36,0.9995663893120825
37,0.9996044767373725
38,0.9996484237665534
39,0.9996777217860072
40,0.9996865111918435
41,0.9997158092112973
42,0.9997421774288058
43,0.9997744052502051
44,0.9997744052502051
45,0.9997744052502051
46,0.9997744052502051
47,0.9998242118832766
48,0.9998622993085667
49,0.9998622993085667
50,0.9998622993085667
51,0.9998622993085667
52,0.9999033165358022
53,0.9999033165358022
54,0.9999238251494199
55,0.9999238251494199
56,0.9999238251494199
57,0.9999238251494199
58,0.9999296847533107
59,0.9999414039610922
60,0.9999414039610922
61,0.9999414039610922
62,0.9999414039610922
63,0.999947263564983
64,0.999947263564983
65,0.9999707019805462
66,0.9999707019805462
67,0.9999707019805462
68,0.9999707019805462
69,0.9999707019805462
70,0.9999707019805462
71,0.9999707019805462
72,0.9999824211883277
73,0.9999824211883277
74,0.9999824211883277
75,0.9999824211883277
76,0.9999824211883277
77,0.9999824211883277
78,0.9999824211883277
79,0.9999824211883277
80,0.9999824211883277
81,0.9999824211883277
82,0.9999824211883277
83,0.9999824211883277
84,0.9999824211883277
85,0.9999853509902731
86,0.9999882807922185
87,0.9999882807922185
88,0.9999882807922185
89,0.9999882807922185
90,0.9999882807922185
91,0.9999912105941638
92,0.9999912105941638
93,0.9999912105941638
94,0.9999912105941638
95,0.9999912105941638
96,0.9999912105941638
97,0.9999912105941638
98,0.9999941403961092
99,0.9999941403961092
100,0.9999941403961092
101,0.9999941403961092
102,0.9999941403961092
103,0.9999970701980546
104,0.9999970701980546
105,0.9999970701980546
106,0.9999970701980546
107,0.9999970701980546
108,0.9999970701980546
109,0.9999970701980546
110,0.9999970701980546
111,0.9999970701980546
112,0.9999970701980546
113,0.9999970701980546
114,0.9999970701980546
115,0.9999970701980546
116,0.9999970701980546
117,0.9999970701980546
118,0.9999970701980546
119,0.9999970701980546
120,0.9999970701980546
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
