Cj,Real weights,DE weights
$C_{1}$,0.009782924516755543,0.010248011753750274
$C_{2}$,0.13519623957737542,0.1351941388659658
$C_{3}$,0.024242141238281088,0.024271026249563746
$C_{4}$,0.09267359788013366,0.09303185333070947
$C_{5}$,0.09761107895316734,0.0975774622783547
$C_{6}$,0.0962646879580729,0.09586788725777488
$C_{7}$,0.02596907398679286,0.025909068149820025
$C_{8}$,0.026217248053822032,0.026368688094841993
$C_{9}$,0.005384840353688031,0.005583410349110737
$C_{10}$,0.01917891589761997,0.01951789465706079
$C_{11}$,0.035039059911979635,0.03509810527696844
$C_{12}$,0.032587814290533174,0.03288883325332434
$C_{13}$,0.00975648461906187,0.009501026470902472
$C_{14}$,0.02054671437959372,0.019953140933058118
$C_{15}$,0.008826597628328568,0.008678811606492783
$C_{16}$,0.048260036323704354,0.0486124374054776
$C_{17}$,0.021861193688094322,0.021314974055481717
$C_{18}$,0.0315965180914631,0.03165936324400852
$C_{19}$,0.09267359788013366,0.09269274981551269
$C_{20}$,0.11555705592228312,0.11516898252824125
$C_{21}$,0.05077417884911565,0.05086213442357982
